sequence,camera,n_comparable,n_swapped,swap_rate,verdict
p41-plant-0004,brics-odroid-024_cam1,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-025_cam0,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-025_cam1,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-029_cam1,2,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-030_cam1,2,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-001_cam0,9,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-001_cam1,9,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-002_cam0,18,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-006_cam0,34,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-007_cam0,27,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-007_cam1,31,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-008_cam0,10,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-009_cam1,31,11,0.3548,occasional_swap
p44-dog-0004,brics-odroid-010_cam0,34,14,0.4118,occasional_swap
p44-dog-0004,brics-odroid-010_cam1,30,6,0.2,no_systematic_swap
p44-dog-0004,brics-odroid-011_cam0,31,5,0.1613,no_systematic_swap
p44-dog-0004,brics-odroid-012_cam0,29,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-012_cam1,33,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-014_cam1,30,14,0.4667,occasional_swap
p44-dog-0004,brics-odroid-015_cam0,2,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-015_cam1,33,10,0.303,occasional_swap
p44-dog-0004,brics-odroid-016_cam0,33,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-017_cam0,34,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-017_cam1,32,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-019_cam1,30,12,0.4,occasional_swap
p44-dog-0004,brics-odroid-020_cam0,33,11,0.3333,occasional_swap
p44-dog-0004,brics-odroid-020_cam1,21,4,0.1905,no_systematic_swap
p44-dog-0004,brics-odroid-021_cam0,34,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-021_cam1,30,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-022_cam0,15,6,0.4,occasional_swap
p44-dog-0004,brics-odroid-022_cam1,32,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-023_cam0,34,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-024_cam0,34,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-024_cam1,34,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-025_cam0,32,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-025_cam1,34,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-026_cam0,30,7,0.2333,occasional_swap
p44-dog-0004,brics-odroid-026_cam1,22,13,0.5909,occasional_swap
p44-dog-0004,brics-odroid-027_cam0,4,1,0.25,occasional_swap
p44-dog-0004,brics-odroid-028_cam0,34,0,0.0,no_systematic_swap
p44-dog-0004,brics-odroid-029_cam0,26,16,0.6154,occasional_swap
p44-dog-0004,brics-odroid-029_cam1,28,17,0.6071,occasional_swap
p44-dog-0004,brics-odroid-030_cam0,15,4,0.2667,occasional_swap
p44-dog-0004,brics-odroid-030_cam1,20,15,0.75,occasional_swap
p52-instrument-0034,brics-odroid-001_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-001_cam1,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-002_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-006_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-007_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-007_cam1,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-009_cam1,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-010_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-010_cam1,14,7,0.5,occasional_swap
p52-instrument-0034,brics-odroid-011_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-012_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-012_cam1,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-014_cam1,8,3,0.375,occasional_swap
p52-instrument-0034,brics-odroid-015_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-015_cam1,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-016_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-017_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-017_cam1,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-020_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-020_cam1,13,2,0.1538,no_systematic_swap
p52-instrument-0034,brics-odroid-021_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-021_cam1,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-022_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-022_cam1,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-023_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-024_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-024_cam1,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-025_cam0,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-025_cam1,14,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-026_cam0,12,10,0.8333,systematic_swap
p52-instrument-0034,brics-odroid-026_cam1,12,8,0.6667,occasional_swap
p52-instrument-0034,brics-odroid-027_cam0,13,12,0.9231,systematic_swap
p52-instrument-0034,brics-odroid-027_cam1,13,13,1.0,systematic_swap
p52-instrument-0034,brics-odroid-028_cam0,4,4,1.0,systematic_swap
p52-instrument-0034,brics-odroid-029_cam0,13,12,0.9231,systematic_swap
p52-instrument-0034,brics-odroid-030_cam0,12,0,0.0,no_systematic_swap
p52-instrument-0034,brics-odroid-030_cam1,2,1,0.5,occasional_swap
