protocol,subset,condition,fold,held_out,lambda,train_median_err_pct,n_train_views
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,25,brics-odroid-022_cam1,10.0,8.7773,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,25,brics-odroid-022_cam1,10.0,8.6041,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,26,brics-odroid-023_cam0,10.0,9.1936,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,26,brics-odroid-023_cam0,10.0,9.145,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,26,brics-odroid-023_cam0,10.0,8.9204,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,27,brics-odroid-024_cam0,3.0,8.5034,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,27,brics-odroid-024_cam0,10.0,8.541,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,27,brics-odroid-024_cam0,3.0,8.4291,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,28,brics-odroid-024_cam1,3.0,8.5224,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,28,brics-odroid-024_cam1,10.0,8.4405,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,28,brics-odroid-024_cam1,10.0,8.3643,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,29,brics-odroid-025_cam0,3.0,8.4844,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,29,brics-odroid-025_cam0,10.0,8.4405,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,29,brics-odroid-025_cam0,10.0,8.3643,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,30,brics-odroid-025_cam1,3.0,8.6179,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,30,brics-odroid-025_cam1,10.0,8.9239,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,30,brics-odroid-025_cam1,10.0,8.7275,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,31,brics-odroid-026_cam0,3.0,8.9278,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,31,brics-odroid-026_cam0,10.0,9.0363,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,31,brics-odroid-026_cam0,10.0,8.8229,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,32,brics-odroid-026_cam1,3.0,8.8737,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,32,brics-odroid-026_cam1,10.0,9.0256,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,32,brics-odroid-026_cam1,10.0,8.8229,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,33,brics-odroid-027_cam0,10.0,9.0375,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,33,brics-odroid-027_cam0,10.0,9.138,147
