sequence,camera,frame,hand,view_class,median_err_distortion_on_px,median_err_distortion_off_px,delta_px,distortion_helps
p41-boxing-0021/021,brics-odroid-024_cam1,234,left,good,6.2576,25.6451,19.3875,1
p52-instrument-0034/034,brics-odroid-009_cam1,72,right,good,3.0243,8.7017,5.6774,1
p52-instrument-0034/034,brics-odroid-011_cam0,6,right,good,3.1899,3.6756,0.4857,1
p41-plant-0004/004,brics-odroid-023_cam0,64,right,good,8.4308,10.8963,2.4655,1
p41-plant-0004/004,brics-odroid-012_cam1,80,left,good,5.6299,12.1766,6.5467,1
p52-instrument-0034/034,brics-odroid-017_cam1,0,right,good,2.4669,2.5414,0.0745,1
p41-boxing-0021/021,brics-odroid-020_cam1,18,right,good,3.4944,3.4196,-0.0748,0
p41-plant-0004/004,brics-odroid-017_cam1,0,left,good,7.5638,10.2761,2.7123,1
p41-boxing-0021/021,brics-odroid-010_cam0,234,left,good,5.8974,13.2195,7.322,1
p52-instrument-0034/034,brics-odroid-010_cam1,0,right,good,8.7846,9.5107,0.7262,1
p52-instrument-0034/034,brics-odroid-012_cam0,42,right,good,4.0208,3.269,-0.7518,0
p41-plant-0004/004,brics-odroid-020_cam1,40,left,good,7.3351,8.1416,0.8065,1
p41-boxing-0021/021,brics-odroid-030_cam0,216,left,good,5.6763,6.7119,1.0357,1
p52-instrument-0034/034,brics-odroid-024_cam1,36,left,good,8.7243,33.325,24.6007,1
p52-instrument-0034/034,brics-odroid-030_cam0,54,left,good,9.0627,58.61,49.5473,1
p52-instrument-0034/034,brics-odroid-002_cam0,6,right,good,6.8328,19.6707,12.8379,1
p44-dog-0004/004,brics-odroid-007_cam1,224,right,good,7.0763,19.7419,12.6656,1
p52-instrument-0034/034,brics-odroid-020_cam1,114,left,good,8.9108,49.0625,40.1517,1
p36-tea-0010/010,brics-odroid-015_cam0,354,right,good,4.4025,15.0989,10.6964,1
p52-instrument-0034/034,brics-odroid-025_cam0,24,right,good,7.8698,10.643,2.7732,1
p36-tea-0010/010,brics-odroid-020_cam0,354,right,good,6.9588,11.1959,4.2371,1
p52-instrument-0034/034,brics-odroid-007_cam1,108,right,good,3.6791,15.4901,11.811,1
p41-plant-0004/004,brics-odroid-007_cam0,96,right,good,4.8193,42.6345,37.8152,1
p44-dog-0004/004,brics-odroid-021_cam0,256,left,good,4.0569,16.6929,12.6361,1
p41-plant-0004/004,brics-odroid-009_cam1,144,left,good,8.3663,11.0783,2.712,1
p41-plant-0004/004,brics-odroid-007_cam0,56,left,good,7.4286,29.4057,21.9771,1
p41-plant-0004/004,brics-odroid-001_cam1,128,right,good,9.0649,60.7868,51.7219,1
p36-tea-0010/010,brics-odroid-023_cam0,119,right,good,8.1755,13.7266,5.5511,1
p41-plant-0004/004,brics-odroid-014_cam1,64,right,good,4.7291,6.9837,2.2546,1
p44-dog-0004/004,brics-odroid-012_cam0,112,right,good,5.99,6.4201,0.43,1
p52-instrument-0034/034,brics-odroid-024_cam0,72,left,good,5.7013,19.8884,14.1872,1
p41-plant-0004/004,brics-odroid-017_cam0,56,left,good,5.8027,6.3828,0.5801,1
p44-dog-0004/004,brics-odroid-016_cam0,96,right,good,7.2399,8.7928,1.5529,1
