sequence,camera,frame,hand,view_class,median_err_px,err_mirror_x_px,err_mirror_y_px,err_swap_uv_px,err_negate_x_px,resid_after_similarity_px,resid_after_translation_px,err_vs_other_hand_3d_px
p44-dog-0004/004,brics-odroid-030_cam1,32,left,bad,409.7113,260.9847,407.1294,389.4861,1079.9064,43.964,125.5604,149.9423
p44-dog-0004/004,brics-odroid-016_cam0,272,right,bad,83.7697,348.1293,284.2863,453.3204,1622.8742,18.1517,38.6976,149.5562
p36-tea-0010/010,brics-odroid-026_cam0,34,left,bad,219.5302,333.089,416.8535,225.613,1040.1796,31.6182,24.1545,43.1388
p44-dog-0004/004,brics-odroid-030_cam0,48,right,bad,188.0483,406.6893,285.4404,344.4767,908.6151,13.3079,78.3078,383.8614
p41-boxing-0021/021,brics-odroid-029_cam0,90,left,bad,180.3211,346.038,352.8044,134.6236,934.7266,17.9356,37.3152,55.5027
p52-instrument-0034/034,brics-odroid-014_cam1,114,right,bad,347.9341,118.6702,523.7917,776.2397,1391.0224,26.5025,63.9084,59.1595
p36-tea-0010/010,brics-odroid-020_cam1,269,right,bad,221.6789,312.2411,286.3826,771.7255,1569.9706,24.8203,45.5858,
p44-dog-0004/004,brics-odroid-026_cam0,16,left,bad,492.4514,768.5743,321.3963,503.1676,817.1235,13.694,38.0034,324.3379
p41-boxing-0021/021,brics-odroid-017_cam0,36,right,bad,76.7178,670.6015,172.5021,769.1041,1949.1669,55.0414,55.1816,127.4744
p52-instrument-0034/034,brics-odroid-027_cam0,6,right,bad,312.0568,336.9991,510.0518,238.6397,946.0423,20.2719,52.2868,60.024
