condition,sequence,camera,physical_camera_id,L_hand_max_px,preferred_q,boundary,correct_direction,f_scene,f_reference
N0,p41-plant-0004,brics-odroid-021_cam0,brics-odroid-021_cam0,1.420022964477539,1.3347413539886475,0,1,787.1708374023438,938.355225
N0,p41-plant-0004,brics-odroid-021_cam1,brics-odroid-021_cam1,1.125312089920044,1.1634747982025146,0,1,862.0287475585938,920.78302
N0,p41-plant-0004,brics-odroid-022_cam0,brics-odroid-022_cam0,0.7773330211639404,0.781268835067749,0,0,915.1299438476562,916.312195
N0,p41-plant-0004,brics-odroid-022_cam1,brics-odroid-022_cam1,1.900390386581421,1.0141841173171997,0,1,773.1038208007812,903.016357
N0,p41-plant-0004,brics-odroid-023_cam0,brics-odroid-023_cam0,1.9854016304016113,1.4394587278366089,0,1,873.3460083007812,914.887695
N0,p41-plant-0004,brics-odroid-024_cam0,brics-odroid-024_cam0,2.05649197101593,1.5,1,1,824.3345031738281,931.895264
N0,p41-plant-0004,brics-odroid-024_cam1,brics-odroid-024_cam1,1.6235337257385254,1.5,1,1,763.8087158203125,951.805908
N0,p41-plant-0004,brics-odroid-025_cam0,brics-odroid-025_cam0,4.568346738815308,1.5,1,1,690.0672607421875,913.867126
N0,p41-plant-0004,brics-odroid-025_cam1,brics-odroid-025_cam1,4.150140047073364,1.4296088218688965,0,1,641.72998046875,879.872681
N0,p44-dog-0004,brics-odroid-001_cam1,brics-odroid-001_cam1,12.429300785064697,0.808556854724884,0,0,877.7084350585938,970.607117
N0,p44-dog-0004,brics-odroid-002_cam0,brics-odroid-002_cam0,48.90992331504822,1.0424250364303589,0,1,862.878173828125,885.953552
N0,p44-dog-0004,brics-odroid-006_cam0,brics-odroid-006_cam0,0.6190423965454102,1.3256080150604248,0,1,806.9283447265625,899.016907
N0,p44-dog-0004,brics-odroid-007_cam0,brics-odroid-007_cam0,1.2475504875183105,1.5,1,1,860.4302368164062,932.032104
N0,p44-dog-0004,brics-odroid-007_cam1,brics-odroid-007_cam1,5.225249290466309,1.5,1,1,765.1459350585938,932.874512
N0,p44-dog-0004,brics-odroid-008_cam0,brics-odroid-008_cam0,1.919284462928772,0.9468839168548584,0,1,945.6842346191406,941.907043
N0,p44-dog-0004,brics-odroid-009_cam1,brics-odroid-009_cam1,2.9028164744377136,1.27210533618927,0,1,860.8326416015625,959.593506
N0,p44-dog-0004,brics-odroid-010_cam0,brics-odroid-010_cam0,0.6807311773300171,0.6228654980659485,0,0,879.2644653320312,933.87085
N0,p44-dog-0004,brics-odroid-011_cam0,brics-odroid-011_cam0,0.5350687801837921,1.5,1,1,755.8075866699219,938.384766
N0,p44-dog-0004,brics-odroid-012_cam0,brics-odroid-012_cam0,0.33166182041168213,0.8310718536376953,0,0,846.3138427734375,953.767944
N0,p44-dog-0004,brics-odroid-012_cam1,brics-odroid-012_cam1,0.35303282737731934,0.6490621566772461,0,0,841.4112243652344,911.326538
N0,p44-dog-0004,brics-odroid-014_cam1,brics-odroid-014_cam1,0.6037060022354126,1.5,1,1,773.3426513671875,940.467224
N0,p44-dog-0004,brics-odroid-015_cam1,brics-odroid-015_cam1,0.5024104714393616,0.7866517901420593,0,0,765.4824829101562,941.986267
N0,p44-dog-0004,brics-odroid-016_cam0,brics-odroid-016_cam0,1.7500490546226501,0.959976851940155,0,0,930.206298828125,986.61853
N0,p44-dog-0004,brics-odroid-017_cam0,brics-odroid-017_cam0,1.7514359951019287,0.8542138934135437,0,0,873.7101440429688,917.866882
N0,p44-dog-0004,brics-odroid-017_cam1,brics-odroid-017_cam1,1.8215396404266357,0.9867082834243774,0,0,852.8450317382812,931.661072
N0,p44-dog-0004,brics-odroid-019_cam1,brics-odroid-019_cam1,5.1336023807525635,1.3165371417999268,0,0,1002.7681884765625,958.992859
N0,p44-dog-0004,brics-odroid-020_cam0,brics-odroid-020_cam0,2.6891002655029297,1.3813608884811401,0,1,756.7109375,931.864014
N0,p44-dog-0004,brics-odroid-020_cam1,brics-odroid-020_cam1,0.6027670502662659,0.7975291013717651,0,0,841.432861328125,945.561951
N0,p44-dog-0004,brics-odroid-021_cam0,brics-odroid-021_cam0,1.6633833050727844,0.7446058988571167,0,0,790.3062133789062,920.005005
