condition,sequence,camera,physical_camera_id,f_scene_only,f_reference,f_lam_0.01,f_lam_0.03,f_lam_0.1,f_lam_0.3,f_lam_1.0,f_lam_3.0,f_lam_10.0
N3,p41-plant-0004,brics-odroid-025_cam1,brics-odroid-025_cam1,641.7300057365597,879.872681,641.7471389889008,641.7813497532998,641.9005053165766,642.2360375613443,643.3559542618873,645.6529872097364,649.3717264857214
N3,p44-dog-0004,brics-odroid-001_cam1,brics-odroid-001_cam1,877.708469617944,970.607117,877.7112962156045,877.7170263900899,877.7379281736307,877.805988510618,878.2180567390034,882.6780419768688,891.5722477754215
N3,p44-dog-0004,brics-odroid-002_cam0,brics-odroid-002_cam0,862.8782078035422,885.953552,862.9201828258769,863.0019026973832,863.2664579902122,863.8764803333797,865.0962125557508,866.4288315416784,868.6608806974813
N3,p44-dog-0004,brics-odroid-006_cam0,brics-odroid-006_cam0,806.9283764989817,899.016907,806.9274594708322,806.9256254425333,806.9192066374849,806.9008697140956,806.8367198631883,806.6536860420655,806.0159871018154
N3,p44-dog-0004,brics-odroid-007_cam0,brics-odroid-007_cam0,860.4302706954345,932.032104,860.4397099451515,860.4586330036979,860.5253352806695,860.7200494857891,861.4537926740331,864.079306208713,871.4266101224894
N3,p44-dog-0004,brics-odroid-007_cam1,brics-odroid-007_cam1,765.1459651858497,932.874512,765.1617510576807,765.1933859358521,765.3047753609494,765.6288636079395,766.8359247488901,773.1016179532207,788.0243568605877
N3,p44-dog-0004,brics-odroid-008_cam0,brics-odroid-008_cam0,945.6842718550058,941.907043,945.6791231429494,945.668825228008,945.6327773712129,945.5297392930559,945.1685895459922,944.1322859188714,940.4510844552908
N3,p44-dog-0004,brics-odroid-009_cam1,brics-odroid-009_cam1,860.8326754964368,959.593506,860.8392975936819,860.8525552761906,860.8990992710577,861.0333122673742,861.517898202251,863.0435594033961,866.5477272864806
N3,p44-dog-0004,brics-odroid-010_cam0,brics-odroid-010_cam0,879.264499952649,933.87085,879.2638159260231,879.2624470328694,879.257647069783,879.2438566913793,879.194683384225,879.0459228509212,867.0737009950515
N3,p44-dog-0004,brics-odroid-011_cam0,brics-odroid-011_cam0,755.807616429484,938.384766,755.8092934909024,755.8126476162,755.8243870805975,755.857928629037,755.9753266334479,756.3107716500272,757.4850872289243
N3,p44-dog-0004,brics-odroid-012_cam0,brics-odroid-012_cam0,846.313876096642,953.767944,846.3163616793458,846.3213328106953,846.338731412798,846.3884386393971,846.5623781795362,847.0590420152462,848.7937990033826
N3,p44-dog-0004,brics-odroid-012_cam1,brics-odroid-012_cam1,841.4112574953982,911.326538,841.4076757507871,841.4005121627637,841.3754385672178,841.3037908291554,841.0529199437763,840.3352551500864,837.8128662606945
N3,p44-dog-0004,brics-odroid-014_cam1,brics-odroid-014_cam1,773.3426818171837,940.467224,773.3423686256778,773.3417422455748,773.3395499457504,773.3332864936943,773.3113674645348,773.248767824157,773.0299737955969
N3,p44-dog-0004,brics-odroid-015_cam1,brics-odroid-015_cam1,765.482513050664,941.986267,765.4812200355215,765.4786304031728,765.4695286920906,765.4431936663005,765.3469878333677,765.0321440155166,763.0980424509705
N3,p44-dog-0004,brics-odroid-016_cam0,brics-odroid-016_cam0,930.2063354545531,986.61853,930.2019184980619,930.1930841281131,930.1621590343271,930.0737604690586,929.76388455606,928.8743819218014,926.0479136214466
N3,p44-dog-0004,brics-odroid-017_cam0,brics-odroid-017_cam0,873.7101784448885,917.866882,873.7094096774355,873.70787215165,873.7024909071633,873.6871167436841,873.6333167453256,873.4796844793728,872.9429265895611
