sequence,take,camera,frame,left_tri_status,left_n_available_cameras,left_n_inlier_cameras,left_n_ok_joints,left_tri_median_reproj_px,left_tri_p90_reproj_px,left_max_ray_angle_deg,left_annotation_present,left_zero_pattern,left_chosen,right_tri_status,right_n_available_cameras,right_n_inlier_cameras,right_n_ok_joints,right_tri_median_reproj_px,right_tri_p90_reproj_px,right_max_ray_angle_deg,right_annotation_present,right_zero_pattern,right_chosen,E_LL_px,E_LR_px,E_RR_px,E_RL_px,n_joints_LL,n_joints_RR,C_LL_px,C_LR_px,C_RR_px,C_RL_px,left_vs_provided_left_mpjpe_mm,left_vs_provided_left_root_aligned_mpjpe_mm,left_vs_provided_left_wrist_mm,left_vs_provided_left_centroid_mm,left_vs_provided_left_n_joints,left_vs_provided_right_mpjpe_mm,left_vs_provided_right_centroid_mm,right_vs_provided_right_mpjpe_mm,right_vs_provided_right_root_aligned_mpjpe_mm,right_vs_provided_right_wrist_mm,right_vs_provided_right_centroid_mm,right_vs_provided_right_n_joints,right_vs_provided_left_mpjpe_mm,right_vs_provided_left_centroid_mm,status,census_status_001_2,group,hand_of_interest,left_case,left_case_reason,left_qc_status,left_qc_reason,left_identity_margin_px,right_case,right_case_reason,right_qc_status,right_qc_reason,right_identity_margin_px
p36-tea-0010,010,brics-odroid-029_cam1,60,ok,32,9,21,2.6443,4.2547,110.0959,1,0,1,ok,33,15,21,3.4337,4.8951,145.426,1,0,1,29.0339,100.9014,140.8949,34.9361,21,21,25.1357,100.9796,130.8365,7.1408,5.8301,7.9167,7.9532,2.6347,21.0,182.6226,178.8633,2.4335,6.4536,6.7025,0.63,21.0,181.8698,178.248,ok,medium,medium_control,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 29 px, other 101 px)",EXCLUDE,2D annotation matches no reconstruction,75.84,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 7 px from the left reconstruction but 131 px from its own; reconstruction agrees with provided right 3D (2.4 mm),EXCLUDE,per-camera 2D hand identity swap,-123.7
p44-dog-0004,004,brics-odroid-015_cam1,280,ok,27,6,19,3.0023,4.3821,106.8958,1,0,1,ok,29,10,21,2.7911,4.6097,107.4096,1,0,1,31.0789,64.3531,4.3638,88.67,19,21,24.1085,58.1214,2.1073,82.2234,6.9917,7.7082,6.0894,4.0777,19.0,129.8048,124.1276,3.9254,9.284,6.897,2.3406,21.0,131.4614,125.4342,ok,medium,medium_control,left,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 6 inlier cameras,REVIEW,insufficient multi-view geometry to decide,34.01,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (4.4 px),PASS_STRICT,multi-view consistent in 2D and 3D,80.12
p41-plant-0004,004,brics-odroid-019_cam1,0,ok,25,9,21,3.0131,4.8338,114.1802,1,0,1,ok,26,10,21,3.1268,4.8038,124.2853,1,0,1,18.58,45.9841,34.093,38.6121,21,21,8.0368,39.9929,35.5674,12.6067,6.9844,11.8691,8.7489,0.9978,21.0,93.0034,89.5411,3.7128,9.7356,11.7407,2.565,21.0,92.539,90.1602,ok,medium,medium_control,right,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 19 px, other 46 px)",EXCLUDE,2D annotation matches no reconstruction,31.96,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 34 px, other 39 px)",EXCLUDE,2D annotation matches no reconstruction,-22.96
p36-tea-0010,010,brics-odroid-007_cam1,80,ok,33,11,21,3.1574,4.9214,136.4043,1,0,1,ok,31,12,21,3.5871,4.9293,154.6189,1,0,1,79.926,48.7375,12.4132,46.4015,21,21,18.2572,17.1322,13.6694,27.9114,5.3218,16.4168,17.8338,2.5466,21.0,191.5513,188.3018,3.542,6.8736,5.8276,1.8561,21.0,191.5065,188.2791,ok,medium,medium_control,right,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 80 px, other 49 px)",EXCLUDE,2D annotation matches no reconstruction,-1.12,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (12.4 px),PASS_STRICT,multi-view consistent in 2D and 3D,14.24
p41-boxing-0021,021,brics-odroid-001_cam0,80,ok,23,6,21,3.5096,4.752,145.0737,1,0,1,ok,28,13,21,2.9837,4.6965,148.1055,1,0,1,34.7016,687.5656,646.4754,120.4699,21,21,19.2578,684.0631,650.8303,24.9034,8.3931,16.6133,14.424,1.6554,21.0,278.8237,273.7082,3.8832,8.7199,8.7741,0.9543,21.0,279.3837,274.3921,ok,medium,medium_control,left,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 6 inlier cameras,REVIEW,insufficient multi-view geometry to decide,664.81,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 646 px, other 120 px)",EXCLUDE,2D annotation matches no reconstruction,-625.93
p41-plant-0004,004,brics-odroid-023_cam0,20,ok,27,9,21,3.2084,4.7377,103.2407,1,0,1,ok,26,10,21,2.8799,4.5938,137.9743,1,0,1,20.4675,99.1712,8.2588,100.991,21,21,11.9534,94.5076,2.1427,106.2837,8.5589,13.6921,8.8548,3.3726,21.0,96.4612,92.8408,5.3768,8.267,8.0171,1.7547,21.0,94.7976,91.9397,ok,medium,medium_control,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 20 px, other 99 px)",EXCLUDE,2D annotation matches no reconstruction,82.55,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (8.3 px),PASS_STRICT,multi-view consistent in 2D and 3D,104.14
p44-dog-0004,004,brics-odroid-024_cam1,0,ok,28,7,21,2.6507,4.3277,125.0086,1,0,1,ok,29,12,21,2.8625,4.6723,112.3676,1,0,1,39.5781,150.0603,5.3517,138.01,21,21,17.5101,138.1574,2.3662,120.5488,5.416,8.1177,5.3251,2.4204,21.0,178.8274,170.6983,2.9475,7.1464,7.2325,1.1645,21.0,179.2024,171.0831,ok,medium,medium_control,left,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 7 inlier cameras,REVIEW,insufficient multi-view geometry to decide,120.65,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (5.4 px),PASS_STRICT,multi-view consistent in 2D and 3D,118.18
p52-instrument-0034,034,brics-odroid-026_cam1,20,ok,32,14,21,3.3311,5.0806,133.3624,1,0,1,ok,33,17,21,3.1555,4.8089,149.3377,1,0,1,9.3494,322.2089,22.7298,333.7353,21,21,1.9798,315.4839,14.2707,328.4013,3.5114,18.6658,18.8776,0.7024,21.0,292.2222,290.194,2.3565,4.726,4.5908,0.5834,21.0,292.8629,290.8916,ok,medium,medium_control,right,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (9.3 px),PASS_STRICT,multi-view consistent in 2D and 3D,313.5,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 23 px, other 334 px)",EXCLUDE,2D annotation matches no reconstruction,314.13
p44-dog-0004,004,brics-odroid-029_cam0,20,ok,30,10,19,3.1131,4.6392,124.6577,1,0,1,ok,33,13,21,3.0402,4.7768,126.0126,1,0,1,10.031,276.9897,278.5436,14.2336,19,21,7.6595,267.206,260.6357,11.9616,3.8878,11.1899,12.8309,2.2873,19.0,199.4888,192.1176,3.9381,15.8758,17.5467,2.3704,21.0,197.9264,189.0125,ok,medium,medium_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (10.0 px),PASS_STRICT,multi-view consistent in 2D and 3D,259.55,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 12 px from the left reconstruction but 261 px from its own; reconstruction agrees with provided right 3D (3.9 mm),EXCLUDE,per-camera 2D hand identity swap,-248.67
p44-dog-0004,004,brics-odroid-010_cam0,320,ok,29,12,21,2.9281,4.4842,114.5735,1,0,1,ok,28,9,21,3.011,4.6108,125.7342,1,0,1,4.5052,125.0502,8.3109,125.9252,21,21,4.9896,122.6683,8.1055,114.945,3.7108,4.055,2.135,1.0167,21.0,197.7465,196.3302,5.2319,5.6506,4.8475,2.0443,21.0,198.0783,196.3873,ok,medium,medium_control,right,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (4.5 px),PASS_STRICT,multi-view consistent in 2D and 3D,117.68,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (8.3 px),PASS_STRICT,multi-view consistent in 2D and 3D,106.84
