q,f,fixed_length_bilateral,candidate_conditioned_bilateral,left_reproj_px,right_reproj_px
1.09375,984.377,0.0,0.0019744637382986146,2.662555400473281,1.7737053740993094
1.10129,991.159,0.0,0.0019628289695129857,2.6420708867877174,1.7662178248273945
1.10888,997.988,0.0,0.0019514043546561687,2.6266760648055003,1.7448334521198676
1.11652,1004.864,0.0,0.0019401854624148305,2.6175089414691035,1.7314183494143247
1.12421,1011.788,0.0,0.0019291694352267159,2.6085180779013886,1.7256439819524734
1.13195,1018.759,0.0,0.001918352430357977,2.599700434055581,1.7205024564111402
1.13975,1025.778,0.0,0.0019077309911037393,2.591052998712363,1.7159685157659628
1.14761,1032.846,0.0,0.0018973014873943511,2.564321318106039,1.7120168416851715
1.15551,1039.962,0.0,0.0018870604126715088,2.5347684599945293,1.7076703347543452
1.16347,1047.127,0.0,0.0018770046498461275,2.505699765220127,1.684358951302321
1.17149,1054.342,0.0,0.0018671307559394335,2.4794864322546264,1.6614676346846546
1.17956,1061.606,0.0,0.001857435474124871,2.4609976342572164,1.6529047597172726
1.18769,1068.921,0.0,0.0018479157804957562,2.4428126920127378,1.6395710822400271
1.19587,1076.286,0.0,0.0018385683277373436,2.424926479207191,1.6311386483767363
1.20411,1083.701,0.0,0.0018293902155154973,2.4073338950351193,1.6245523612984116
1.21241,1091.168,0.0,0.0018203784128116144,2.390030012488685,1.6086963852675664
1.22076,1098.686,0.0,0.001811530434529348,2.3730103132848805,1.58380966389972
1.22917,1106.256,0.0,0.0018028431914163055,2.3562695362032122,1.559377081467174
1.23764,1113.878,0.0,0.0017943128874823363,2.3398034765835254,1.5448148075088148
1.24617,1121.552,0.0,0.0017859381420104567,2.298665811824042,1.5357874335213526
1.25476,1129.28,0.0,0.0017777154092322761,2.275744195245969,1.5269636286396446
1.2634,1137.06,0.0,0.0017696425439959029,2.2600558201429726,1.518340059931567
1.27211,1144.895,0.0,0.0017617161021477716,2.2446107530528394,1.5133823926368501
1.28087,1152.783,0.0,0.0017539340749545551,2.2294056574931767,1.5178816352287308
1.2897,1160.726,0.0,0.0017462942489096787,2.2144368760734725,1.5224248348419396
1.29858,1168.723,0.0,0.0017387941159568237,2.1997006757242477,1.5242326238258082
1.30753,1176.775,0.0,0.001731430734612887,2.1851935055494645,1.5260812403382022
1.31654,1184.883,0.0,0.0017242019017095183,2.1709118810080805,1.5279876110524286
1.32561,1193.047,0.0,0.0017171054119761678,2.153901223550443,1.5299506574120425
1.33474,1201.267,0.0,0.001710138839655961,2.125614311125596,1.5319686349471366
1.34394,1209.544,0.0,0.001703299630920185,2.0977296239425445,1.5340396111696344
1.3532,1217.878,0.0,0.001696586298358948,2.070244922922627,1.5361622773893406
1.36252,1226.269,0.0,0.0016899964330671694,2.043158090676869,1.5383347744350402
1.37191,1234.718,0.0,0.0016835276614060896,2.0164675191136663,1.5398263831182746
1.38136,1243.225,0.0,0.0016771783805733912,1.990171244422689,1.5391557213164377
1.39088,1251.791,0.0,0.0016709457967038466,1.9699143291746737,1.5385748702135855
1.40046,1260.415,0.0,0.0016648280524436364,1.9562520361861857,1.538081471174643
1.41011,1269.1,0.0,0.0016588235888157815,1.9310997781414114,1.5376732806365965
1.41983,1277.844,0.0,0.0016529300549293058,1.9059753251334899,1.5373480376429085
1.42961,1286.648,0.0,0.001647145925027748,1.881366347291198,1.537103562514814
1.43946,1295.513,0.0,0.0016414691185705637,1.8572673855139106,1.5443926525720866
1.44938,1304.439,0.0,0.0016358980355099854,1.840072459025793,1.5522413305639793
1.45936,1313.426,0.0,0.0016304305533715521,1.8363151552428105,1.5601069711362148
1.46942,1322.476,0.0,0.0016250647504568658,1.8327107110588494,1.5650841054544649
1.47954,1331.588,0.0,0.001619799100103344,1.8281186374118463,1.56773859419254
1.48974,1340.762,0.0,0.0016146317909081387,1.8226862303115783,1.5704249383551359
1.5,1350.0,0.0,0.0016095613060537726,1.8174121181263336,1.5731412752108298
