frame,time_sec,hand,legacy_root_z_m,anycalib_root_z_m,e2_root_z_m
113,3.767,Left,2.166534,0.454257,0.506972
113,3.767,Right,1.166465,0.246843,0.275155
114,3.8,Left,2.183896,0.457858,0.510997
114,3.8,Right,1.170586,0.247701,0.276113
115,3.833,Left,2.193176,0.459781,0.513147
115,3.833,Right,1.169086,0.247391,0.275766
116,3.867,Left,2.184514,0.457985,0.511139
116,3.867,Right,1.181545,0.249972,0.278652
117,3.9,Left,2.173555,0.455714,0.5086
117,3.9,Right,1.172462,0.248087,0.276545
118,3.933,Left,2.166006,0.454148,0.506851
118,3.933,Right,1.181787,0.25002,0.278706
119,3.967,Left,2.167758,0.454512,0.507257
119,3.967,Right,1.180416,0.249735,0.278388
120,4.0,Left,2.138088,0.448359,0.50038
120,4.0,Right,1.177316,0.249094,0.277671
121,4.033,Left,2.139173,0.448585,0.500632
121,4.033,Right,1.187539,0.251216,0.280042
122,4.067,Left,2.208733,0.46301,0.516755
122,4.067,Right,1.180866,0.249833,0.278496
123,4.1,Left,2.239577,0.469406,0.523903
123,4.1,Right,1.167759,0.247115,0.275458
124,4.133,Left,2.219063,0.465152,0.519149
124,4.133,Right,1.168565,0.247281,0.275644
125,4.167,Left,2.204041,0.462038,0.515668
125,4.167,Right,1.16721,0.247,0.27533
126,4.2,Left,2.207016,0.462655,0.516358
126,4.2,Right,1.17358,0.24832,0.276805
127,4.233,Left,2.209941,0.463262,0.517036
127,4.233,Right,1.161612,0.245839,0.274033
128,4.267,Left,2.199535,0.461103,0.514624
128,4.267,Right,1.171488,0.247889,0.276324
129,4.3,Left,2.194331,0.460024,0.513417
129,4.3,Right,1.17822,0.249283,0.277882
130,4.333,Left,2.189634,0.459049,0.512328
130,4.333,Right,1.162927,0.246111,0.274336
131,4.367,Left,2.210422,0.463359,0.517145
131,4.367,Right,1.169837,0.247543,0.275937
132,4.4,Left,2.218587,0.465053,0.519039
132,4.4,Right,1.170771,0.247736,0.276153
133,4.433,Left,2.190111,0.459147,0.512438
133,4.433,Right,1.169922,0.247559,0.275956
134,4.467,Left,2.207275,0.462707,0.516417
134,4.467,Right,1.172686,0.248136,0.2766
135,4.5,Left,2.22584,0.466556,0.520718
135,4.5,Right,1.169613,0.247499,0.275888
136,4.533,Left,2.213798,0.464058,0.517927
