camera,model,N,n_views,median_rel_err_pct
brics-odroid-014_cam1,geocalib_distorted,1,4,8.287834952102186
brics-odroid-014_cam1,geocalib_distorted,2,4,8.287834952102186
brics-odroid-014_cam1,geocalib_distorted,4,4,8.469852722118242
brics-odroid-014_cam1,geocalib_distorted,8,4,8.658566018334794
brics-odroid-014_cam1,pf_uncentered,1,4,5.261197390291525
brics-odroid-014_cam1,pf_uncentered,2,4,4.86786834701488
brics-odroid-014_cam1,pf_uncentered,4,4,4.0919948479110335
brics-odroid-014_cam1,pf_uncentered,8,4,3.7212165838571476
brics-odroid-015_cam0,anycalib_gen,1,4,8.184326904550867
brics-odroid-015_cam0,anycalib_gen,2,4,8.184326904550868
brics-odroid-015_cam0,anycalib_gen,4,4,8.239924949658391
brics-odroid-015_cam0,anycalib_gen,8,4,8.198668839932427
brics-odroid-015_cam0,geocalib_distorted,1,4,6.578489974588168
brics-odroid-015_cam0,geocalib_distorted,2,4,6.578489974588168
brics-odroid-015_cam0,geocalib_distorted,4,4,6.379949364322826
brics-odroid-015_cam0,geocalib_distorted,8,4,6.459509600746522
brics-odroid-015_cam0,pf_uncentered,1,4,12.34404910129124
brics-odroid-015_cam0,pf_uncentered,2,4,12.052306485280127
brics-odroid-015_cam0,pf_uncentered,4,4,12.419579003743564
brics-odroid-015_cam0,pf_uncentered,8,4,12.860726630636087
brics-odroid-015_cam1,anycalib_gen,1,5,15.233116646999637
brics-odroid-015_cam1,anycalib_gen,2,5,15.233116646999635
brics-odroid-015_cam1,anycalib_gen,4,5,15.022725315461932
brics-odroid-015_cam1,anycalib_gen,8,5,14.70259678196572
brics-odroid-015_cam1,geocalib_distorted,1,5,6.753021782143579
brics-odroid-015_cam1,geocalib_distorted,2,5,6.753021782143578
brics-odroid-015_cam1,geocalib_distorted,4,5,6.439612180792226
brics-odroid-015_cam1,geocalib_distorted,8,5,6.00973334784682
brics-odroid-015_cam1,pf_uncentered,1,5,6.584828750705656
brics-odroid-015_cam1,pf_uncentered,2,5,6.584828750705656
brics-odroid-015_cam1,pf_uncentered,4,5,6.3037655292394446
brics-odroid-015_cam1,pf_uncentered,8,5,6.279074719950467
brics-odroid-016_cam0,anycalib_gen,1,5,5.4240032239207965
brics-odroid-016_cam0,anycalib_gen,2,5,5.424003223920795
brics-odroid-016_cam0,anycalib_gen,4,5,5.752629503406659
brics-odroid-016_cam0,anycalib_gen,8,5,5.708300704629982
brics-odroid-016_cam0,geocalib_distorted,1,5,7.4245984620469425
brics-odroid-016_cam0,geocalib_distorted,2,5,7.4245984620469425
brics-odroid-016_cam0,geocalib_distorted,4,5,7.458844602824091
brics-odroid-016_cam0,geocalib_distorted,8,5,7.569785226535173
brics-odroid-016_cam0,pf_uncentered,1,5,12.625745330045254
brics-odroid-016_cam0,pf_uncentered,2,5,12.625745330045252
brics-odroid-016_cam0,pf_uncentered,4,5,13.029437823197027
brics-odroid-016_cam0,pf_uncentered,8,5,12.8964282102636
brics-odroid-017_cam0,anycalib_gen,1,4,5.823024955586714
brics-odroid-017_cam0,anycalib_gen,2,4,5.823024955586714
brics-odroid-017_cam0,anycalib_gen,4,4,5.908248129898709
brics-odroid-017_cam0,anycalib_gen,8,4,6.101198208873668
brics-odroid-017_cam0,geocalib_distorted,1,4,7.059260857617944
brics-odroid-017_cam0,geocalib_distorted,2,4,7.059260857617943
brics-odroid-017_cam0,geocalib_distorted,4,4,6.150073476196273
brics-odroid-017_cam0,geocalib_distorted,8,4,4.655898581267046
