sequence,camera,disagreement_3model,log_spread_3model,disagreement_2model,primary_rel_err_pct,ensemble_e4_rel_err_pct,ensemble_e5_rel_err_pct
p36-tea-0010,brics-odroid-025_cam0,0.2791988251475376,0.2626948679395691,0.0732573494879393,28.125599574308364,30.71176739053686,28.125599574308364
p36-tea-0010,brics-odroid-025_cam1,0.27081743885056836,0.31390651128015085,0.3062773994757328,7.533306855790421,7.899630289677837,25.908365712743404
p36-tea-0010,brics-odroid-026_cam0,0.7684400500144689,0.5957595817685449,0.05808333344846844,5.780994177718555,8.478667614305632,5.780994177718555
p36-tea-0010,brics-odroid-026_cam1,0.439482356594369,0.4788166469056852,0.3315741195494117,1.8143696730174883,16.069760030304455,37.21141422249599
p36-tea-0010,brics-odroid-027_cam0,0.6424181406230546,0.5317338987687419,0.08846619632670626,2.178076377405918,2.245898458816099,2.178076377405918
p36-tea-0010,brics-odroid-027_cam1,0.4211079081662329,0.3700534338502376,0.06146496845809455,14.314353458124412,16.908437577940507,14.314353458124412
p36-tea-0010,brics-odroid-028_cam0,0.6651631365614505,0.5668896287436491,0.13671803696678195,10.049055782414788,16.001523657142418,10.049055782414788
p36-tea-0010,brics-odroid-029_cam0,0.7005090897799112,0.7238248564108749,0.6937948792407475,12.09267232656673,60.97328006065652,69.98599891311623
p36-tea-0010,brics-odroid-029_cam1,0.8130909995894379,0.6106979854169197,0.034596704338359936,8.477005793648203,6.879875459337656,5.2548742568710285
p36-tea-0010,brics-odroid-030_cam0,0.34238222591398054,0.40087824188849647,0.3608618546643366,19.64002647393765,3.557758860515261,15.743018170482426
p36-tea-0010,brics-odroid-030_cam1,0.4984558557457817,0.4380332323201957,0.3370097578652956,15.300349038320427,0.40770325419246967,15.300349038320427
p41-boxing-0021,brics-odroid-001_cam0,0.4382318723921038,0.38180069899038416,0.05910018363540443,11.870538352509513,9.226664015212894,6.503473733160179
p41-boxing-0021,brics-odroid-001_cam1,0.3828300973778375,0.3693084992703588,0.15406588945627492,7.655240901013494,0.2452356784287912,7.759369366977207
p41-boxing-0021,brics-odroid-002_cam0,0.34517599239939395,0.353910642269215,0.20642111530319185,9.602573997873506,0.2628454598285454,11.204916160610422
p41-boxing-0021,brics-odroid-006_cam0,0.37970709708949213,0.369931968197433,0.16421003286502978,8.523808766003818,0.677811425668837,7.841144347173177
p41-boxing-0021,brics-odroid-007_cam0,0.2439447834059298,0.24348172088045605,0.24228594171901713,2.02692141299889,10.656808125360127,10.71977754570177
p41-boxing-0021,brics-odroid-007_cam1,0.43817654296019687,0.40479486782824387,0.12979146763085705,7.484028714629732,1.2720232436341206,5.357088716495679
p41-boxing-0021,brics-odroid-008_cam0,0.3192602253258758,0.30424480880232074,0.10769817068176113,0.9135779984469804,4.573862937683703,10.365200284838815
p41-boxing-0021,brics-odroid-009_cam1,0.37260223824979405,0.39064429043894144,0.2476805160804272,15.380347321176584,4.163292723300649,8.540677855302524
