feature,group,target,spearman_rho,ci_lo_camera_cluster,ci_hi_camera_cluster,ci_excludes_zero,naive_p,n_views,deployable,evidence,bh_fdr_q_descriptive
long_line_count,F_SCENE_GEOM,abs_log_bias,-0.1852240828139194,-0.37541052971567873,0.01333155723891854,0,0.014127809608528705,175,yes,ASSOCIATION only - no causal claim,0.08476685765117223
total_line_length_over_area,F_SCENE_GEOM,signed_log_bias,0.028499776085982986,-0.16836142044704228,0.23024566891105147,0,0.7081135855844278,175,yes,ASSOCIATION only - no causal claim,0.9025692394551281
total_line_length_over_area,F_SCENE_GEOM,abs_log_bias,0.003781907747424989,-0.17661916813670483,0.18357125348201278,0,0.9603841069452208,175,yes,ASSOCIATION only - no causal claim,0.9981697474114186
median_norm_line_length,F_SCENE_GEOM,signed_log_bias,0.11282579489476044,-0.0834023926397919,0.29428836567339833,0,0.13712057846367168,175,yes,ASSOCIATION only - no causal claim,0.31994801641523396
median_norm_line_length,F_SCENE_GEOM,abs_log_bias,-0.0872973578145992,-0.2844122457448096,0.12191043537308124,0,0.2506574472195064,175,yes,ASSOCIATION only - no causal claim,0.4577222949225769
horizontal_line_fraction,F_SCENE_GEOM,signed_log_bias,-0.18776085982982538,-0.36374516081722474,0.0020411232211842915,0,0.012838687759769044,175,yes,ASSOCIATION only - no causal claim,0.05991387621225554
horizontal_line_fraction,F_SCENE_GEOM,abs_log_bias,0.1741088222122705,-0.011808351537696484,0.3478763587717958,0,0.021202098801120728,175,yes,ASSOCIATION only - no causal claim,0.10483168284532739
vertical_line_fraction,F_SCENE_GEOM,signed_log_bias,0.1079601433049709,-0.12405963496113984,0.3298803227869957,0,0.154996224950049,175,yes,ASSOCIATION only - no causal claim,0.3254920723951029
vertical_line_fraction,F_SCENE_GEOM,abs_log_bias,-0.10842812360053738,-0.32697635552182064,0.12492064205886749,0,0.15320425196601722,175,yes,ASSOCIATION only - no causal claim,0.3386620306617223
diagonal_line_fraction,F_SCENE_GEOM,signed_log_bias,0.07162113748320645,-0.14169997916176538,0.2749643094366063,0,0.34625463315541133,175,yes,ASSOCIATION only - no causal claim,0.5948536669024247
diagonal_line_fraction,F_SCENE_GEOM,abs_log_bias,-0.08311240483654278,-0.2883298477295362,0.12529060611917778,0,0.2741798034311476,175,yes,ASSOCIATION only - no causal claim,0.47790637967926003
