physical_camera_id,n_sequences,sequences,mean_signed_log_bias,median_signed_log_bias,between_sequence_sd_log,min_signed_log_bias,max_signed_log_bias,range_log,sign_consistent,mean_signed_pct
brics-odroid-012_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.0886033049409774,-0.09271818343157881,0.033660002528565346,-0.11913349540019055,-0.04984335750056144,0.06929013789962912,1,-8.479143971398507
brics-odroid-012_cam1,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.09871430220005409,-0.0941636985772544,0.021257179332497746,-0.12251025096898316,-0.0777599472894091,0.044750303679574055,1,-9.399848630910757
brics-odroid-014_cam1,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.12950137694929048,-0.11737522335771042,0.0465325910364994,-0.19588892897840865,-0.08736613210333238,0.10852279687507627,1,-12.14666212804989
brics-odroid-015_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.1036811594220482,-0.09080497028501597,0.053267785653832035,-0.17556509258866393,-0.05754960452949695,0.11801548805916698,1,-9.848730957025886
brics-odroid-015_cam1,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.16604875495984672,-0.1570053292118737,0.04394004004210434,-0.21382390286999053,-0.11133037302653409,0.10249352984345644,1,-15.299506250901896
brics-odroid-016_cam0,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,0.03502623287990165,0.024359423067065955,0.07539411211268947,-0.059388892562870374,0.14433391471988027,0.20372280728275066,0,3.5646876443409248
brics-odroid-017_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.06429421780094215,-0.05892683521542746,0.026185936641215598,-0.09936593013556139,-0.03995727063735226,0.05940865949820913,1,-6.2270937642700535
brics-odroid-017_cam1,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.07067060577470607,-0.07096302073712024,0.015526782746464556,-0.0881880431860021,-0.05256833843858169,0.035619704747420405,1,-6.823123916644446
brics-odroid-019_cam1,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.016277222448548793,-0.008564473077423961,0.04589195496569477,-0.07892631579539286,0.03094637215604561,0.10987268795143847,0,-1.614546431734154
brics-odroid-020_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.09585486467067647,-0.10492090707301566,0.10658617338126444,-0.21052303276226175,0.0369453882255872,0.24746842098784894,0,-9.140412413861743
